pl_name,hostname,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,discoverymethod,disc_year,disc_facility
HD 43197 c,HD 43197,8.54,0.149,2500.67391,12.6,Radial Velocity,2022,Multiple Observatories
HD 43691 b,HD 43691,0.238,0.0796,810.4665,13.2,Radial Velocity,2007,Haute-Provence Observatory
HD 44219 b,HD 44219,1.19,0.61,184.33,14.1,Radial Velocity,2010,La Silla Observatory
HD 45184 b,HD 45184,0.0644,0.07,12.19,3.52,Radial Velocity,2019,La Silla Observatory
HD 45184 c,HD 45184,0.11,0.07,8.81,2.91,Radial Velocity,2019,La Silla Observatory
HD 45350 b,HD 45350,1.92,0.778,568.89,13.5,Radial Velocity,2004,W. M. Keck Observatory
HD 45364 b,HD 45364,0.6793,0.067,60.16492,9.03,Radial Velocity,2008,La Silla Observatory
HD 45364 c,HD 45364,0.902,0.019,174.4878,14.2,Radial Velocity,2008,La Silla Observatory
HD 45652 b,HD 45652,0.237,0.607,137.62039,14.3,Radial Velocity,2008,Haute-Provence Observatory
HD 457 b,HD 457,15.369,0.565,8445.33643,11.9,Radial Velocity,2022,Multiple Observatories
HD 46375 b,HD 46375,0.0398,0.063,71.8,10.0,Radial Velocity,2000,W. M. Keck Observatory
HD 47186 b,HD 47186,0.05,0.04,22.2481,5.02,Radial Velocity,2008,La Silla Observatory
HD 47186 c,HD 47186,2.395,0.249,111.42,13.0,Radial Velocity,2008,La Silla Observatory
HD 4732 b,HD 4732,1.19,0.13,753.23,13.3,Radial Velocity,2012,Multiple Observatories
HD 4732 c,HD 4732,4.6,0.23,753.23,13.3,Radial Velocity,2012,Multiple Observatories
HD 47366 b,HD 47366,1.28,0.06,731.009,13.3,Radial Velocity,2016,Okayama Astrophysical Observatory
HD 47366 c,HD 47366,1.97,0.1,597.5204,13.4,Radial Velocity,2016,Okayama Astrophysical Observatory
HD 47536 b,HD 47536,1.93,0.2,2330.0,12.6,Radial Velocity,2002,La Silla Observatory
HD 4760 b,HD 4760,1.14,0.23,4417.837,12.3,Radial Velocity,2021,Multiple Observatories
HD 48265 b,HD 48265,1.814,0.211,484.69075,13.5,Radial Velocity,2008,Las Campanas Observatory
HD 4917 b,HD 4917,1.167,0.066,513.29545,13.5,Radial Velocity,2018,W. M. Keck Observatory
HD 49674 b,HD 49674,0.06,0.09,31.783,6.2,Radial Velocity,2002,W. M. Keck Observatory
HD 50499 b,HD 50499,3.833,0.266,519.96988,13.5,Radial Velocity,2005,W. M. Keck Observatory
HD 50499 c,HD 50499,9.02,0.0,931.2419,13.2,Radial Velocity,2019,La Silla Observatory
HD 50554 b,HD 50554,2.353,0.501,1859.29618,12.8,Radial Velocity,2002,Lick Observatory
HD 51608 b,HD 51608,0.1059,0.09,12.77,3.62,Radial Velocity,2019,La Silla Observatory
HD 51608 c,HD 51608,0.3809,0.14,14.31,3.87,Radial Velocity,2019,La Silla Observatory
HD 52265 b,HD 52265,0.52,0.27,384.5743,13.7,Radial Velocity,2000,W. M. Keck Observatory
HD 5278 b,HD 5278,0.1202,0.08,7.8,2.45,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
HD 5278 c,HD 5278,0.2416,0.07,18.4,4.49,Radial Velocity,2021,Paranal Observatory
HD 5319 b,HD 5319,1.57,0.092,494.54348,13.5,Radial Velocity,2007,W. M. Keck Observatory
HD 5319 c,HD 5319,1.93,0.183,334.67499,13.8,Radial Velocity,2014,W. M. Keck Observatory
HD 55696 b,HD 55696,3.18,0.705,1357.1273,12.9,Radial Velocity,2018,W. M. Keck Observatory
HD 5583 b,HD 5583,0.53,0.076,1837.0574,12.8,Radial Velocity,2016,Roque de los Muchachos Observatory
HD 5608 b,HD 5608,1.911,0.056,534.27223,13.5,Radial Velocity,2012,Okayama Astrophysical Observatory
HD 564 b,HD 564,1.2,0.096,104.88,12.5,Radial Velocity,2014,La Silla Observatory
HD 56414 b,HD 56414,0.229,0.68,13.3,3.71,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 56957 b,HD 56957,6.426,0.273,1880.90851,12.8,Radial Velocity,2022,Multiple Observatories
HD 5891 b,HD 5891,0.64,0.07,2425.0429,12.6,Radial Velocity,2011,W. M. Keck Observatory
HD 59686 A b,HD 59686 A,1.086,0.05,2199.3836,12.7,Radial Velocity,2016,Lick Observatory
HD 60292 b,HD 60292,1.5,0.27,2065.895,12.7,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory
HD 60532 b,HD 60532,0.77,0.26,336.8998,13.8,Radial Velocity,2008,La Silla Observatory
HD 60532 c,HD 60532,1.6,0.03,797.7533,13.3,Radial Velocity,2008,La Silla Observatory
HD 62364 b,HD 62364,6.15,0.607,5965.6392,12.1,Radial Velocity,2022,Multiple Observatories
HD 62364 c,HD 62364,36.984,0.773,7923.46219,12.0,Radial Velocity,2022,Multiple Observatories
HD 62509 b,HD 62509,1.64,0.02,731.0,13.3,Radial Velocity,2006,Multiple Observatories
HD 62549 b,HD 62549,11.842,0.15,2707.5802,12.6,Radial Velocity,2022,Multiple Observatories
HD 63433 b,HD 63433,0.0719,0.0,5.27,2.15,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
HD 63433 c,HD 63433,0.1458,0.0,7.61,2.67,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
HD 63454 b,HD 63454,0.04,0.0,79.4575,12.31,Radial Velocity,2005,La Silla Observatory
HD 63765 b,HD 63765,0.94,0.24,168.4499,14.2,Radial Velocity,2009,La Silla Observatory
HD 64114 b,HD 64114,0.246,0.12,17.8,4.41,Radial Velocity,2019,Las Campanas Observatory
HD 64121 b,HD 64121,1.51,0.11,813.64072,13.2,Radial Velocity,2022,La Silla Observatory
HD 6434 b,HD 6434,0.14,0.17,155.7367,14.2,Radial Velocity,2003,La Silla Observatory
HD 65216 b,HD 65216,1.301,0.27,411.58985,13.6,Radial Velocity,2003,La Silla Observatory
HD 65216 c,HD 65216,5.75,0.17,645.1949,13.4,Radial Velocity,2013,La Silla Observatory
HD 66141 b,HD 66141,1.2,0.07,1906.9,12.8,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory
HD 66428 b,HD 66428,3.395,0.471,3478.94974,12.4,Radial Velocity,2005,W. M. Keck Observatory
HD 66428 c,HD 66428,9.408,0.207,560.64931,13.5,Radial Velocity,2021,Multiple Observatories
HD 67087 b,HD 67087,1.08,0.17,973.0,13.1,Radial Velocity,2015,Multiple Observatories
HD 67087 c,HD 67087,3.86,0.76,1540.0,12.9,Radial Velocity,2015,Multiple Observatories
HD 6718 b,HD 6718,3.55,0.1,533.9544,13.5,Radial Velocity,2009,La Silla Observatory
HD 68402 b,HD 68402,2.18,0.03,2510.84442,12.6,Radial Velocity,2016,Multiple Observatories
HD 68988 b,HD 68988,0.07,0.12,626.1251,13.4,Radial Velocity,2001,Multiple Observatories
HD 68988 c,HD 68988,13.2,0.45,4767.4261,12.3,Radial Velocity,2021,Multiple Observatories
HD 69123 b,HD 69123,2.482,0.19,982.08978,13.1,Radial Velocity,2022,La Silla Observatory
HD 69830 b,HD 69830,0.0785,0.1,10.2,3.17,Radial Velocity,2006,La Silla Observatory
HD 69830 c,HD 69830,0.186,0.13,11.8,3.46,Radial Velocity,2006,La Silla Observatory
HD 69830 d,HD 69830,0.63,0.07,18.1,4.45,Radial Velocity,2006,La Silla Observatory
HD 70573 b,HD 70573,1.76,0.4,1900.0,12.8,Radial Velocity,2007,La Silla Observatory
HD 70642 b,HD 70642,3.318,0.175,1239.53079,13.0,Radial Velocity,2003,Anglo-Australian Telescope
HD 7199 b,HD 7199,1.36,0.19,85.8141,11.1,Radial Velocity,2011,La Silla Observatory
HD 72490 b,HD 72490,1.88,0.124,561.92344,13.5,Radial Velocity,2018,W. M. Keck Observatory
HD 72659 b,HD 72659,4.691,0.257,949.67128,13.2,Radial Velocity,2002,W. M. Keck Observatory
HD 72659 c,HD 72659,13.959,0.091,5977.08102,12.1,Radial Velocity,2022,Multiple Observatories
HD 72892 b,HD 72892,0.228,0.419,1737.88573,12.8,Radial Velocity,2016,Multiple Observatories
HD 73267 b,HD 73267,2.229,0.261,1321.53052,13.0,Radial Velocity,2008,La Silla Observatory
HD 73267 c,HD 73267,12.688,0.089,1630.77756,12.8,Radial Velocity,2022,Multiple Observatories
HD 73526 b,HD 73526,0.65,0.19,978.9164,13.1,Radial Velocity,2002,Anglo-Australian Telescope
HD 73526 c,HD 73526,1.03,0.28,715.09,13.3,Radial Velocity,2005,Anglo-Australian Telescope
HD 73534 b,HD 73534,2.99,0.126,353.42696,13.7,Radial Velocity,2008,W. M. Keck Observatory
HD 73583 b,HD 73583,0.0604,0.09,10.2,2.79,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 73583 c,HD 73583,0.1242,0.08,9.7,2.39,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
HD 74156 b,HD 74156,0.28,0.636,532.36258,13.5,Radial Velocity,2003,Haute-Provence Observatory
HD 74156 c,HD 74156,3.678,0.377,2753.98315,12.5,Radial Velocity,2003,Haute-Provence Observatory
HD 7449 b,HD 7449,2.438,0.752,2597.9294,12.6,Radial Velocity,2011,La Silla Observatory
HD 74698 b,HD 74698,0.121,0.1,23.0,5.12,Radial Velocity,2023,La Silla Observatory
HD 74698 c,HD 74698,4.5,0.2,126.0,14.0,Radial Velocity,2023,La Silla Observatory
HD 75289 b,HD 75289,0.05,0.03,155.7367,14.2,Radial Velocity,1999,La Silla Observatory
HD 75784 b,HD 75784,1.032,0.097,317.83,13.8,Radial Velocity,2014,W. M. Keck Observatory
HD 75784 c,HD 75784,8.4,0.489,1792.5612,12.8,Radial Velocity,2018,W. M. Keck Observatory
HD 75898 b,HD 75898,1.191,0.11,861.3193,13.2,Radial Velocity,2007,W. M. Keck Observatory
HD 76700 b,HD 76700,0.05,0.09,66.7443,9.6,Radial Velocity,2002,Anglo-Australian Telescope
HD 76920 b,HD 76920,1.149,0.856,1249.0719,13.0,Radial Velocity,2017,Multiple Observatories
HD 77338 b,HD 77338,0.06,0.09,15.9,4.12,Radial Velocity,2012,La Silla Observatory
HD 79181 b,HD 79181,0.9,0.259,203.41018,14.1,Radial Velocity,2021,Okayama Astrophysical Observatory
HD 7924 b,HD 7924,0.06,0.06,6.3566,2.4,Radial Velocity,2008,W. M. Keck Observatory
HD 7924 c,HD 7924,0.1134,0.098,7.86,2.72,Radial Velocity,2015,W. M. Keck Observatory
HD 7924 d,HD 7924,0.1551,0.21,6.44,2.42,Radial Velocity,2015,W. M. Keck Observatory
HD 79498 b,HD 79498,2.98,0.575,425.8922,13.6,Radial Velocity,2011,McDonald Observatory
HD 80606 b,HD 80606,0.4565,0.93,1392.0954,11.994,Radial Velocity,2001,Multiple Observatories
HD 80653 b,HD 80653,0.01661,0.0,5.72,1.613,Transit,2020,K2
HD 80869 b,HD 80869,2.905,0.924,1609.80088,12.8,Radial Velocity,2021,Haute-Provence Observatory
HD 80883 b,HD 80883,6.462,0.203,1748.05624,12.8,Radial Velocity,2022,Multiple Observatories
HD 80913 b,HD 80913,9.95,0.313,7505.2,12.0,Radial Velocity,2022,Multiple Observatories
HD 81040 b,HD 81040,1.988,0.557,2151.06266,12.7,Radial Velocity,2005,Multiple Observatories
HD 81688 b,HD 81688,0.81,0.0,858.1,13.2,Radial Velocity,2007,Okayama Astrophysical Observatory
HD 81817 b,HD 81817,3.233,0.097,7668.5638,12.0,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory
HD 81817 c,HD 81817,2.325,0.095,7185.78245,12.0,Radial Velocity,2022,Multiple Observatories
HD 82886 b,HD 82886,1.58,0.07,740.5439,13.3,Radial Velocity,2011,W. M. Keck Observatory
HD 82943 b,HD 82943,1.18306,0.162,534.25,13.5,Radial Velocity,2003,La Silla Observatory
HD 82943 c,HD 82943,0.74345,0.3663,622.603,13.4,Radial Velocity,2003,La Silla Observatory
HD 8326 b,HD 8326,0.533,0.2,66.6,9.58,Radial Velocity,2019,Las Campanas Observatory
HD 83443 b,HD 83443,0.0406,0.012,127.76702,14.1,Radial Velocity,2002,Multiple Observatories
HD 83443 c,HD 83443,8.0,0.76,476.74261,13.6,Radial Velocity,2022,Multiple Observatories
HD 8535 b,HD 8535,2.45,0.15,216.1244,14.0,Radial Velocity,2010,La Silla Observatory
HD 85390 b,HD 85390,1.373,0.5,31.46517,6.16,Radial Velocity,2009,La Silla Observatory
HD 85512 b,HD 85512,0.26,0.11,3.6,1.72,Radial Velocity,2011,La Silla Observatory
HD 8574 b,HD 8574,0.76,0.3,645.1949,13.4,Radial Velocity,2002,Haute-Provence Observatory
HD 86065 b,HD 86065,15.947,0.219,2877.30057,12.5,Radial Velocity,2022,Multiple Observatories
HD 86081 b,HD 86081,0.0346,0.0119,470.3884,13.6,Radial Velocity,2006,W. M. Keck Observatory
HD 86226 b,HD 86226,2.73,0.059,143.0235,14.3,Radial Velocity,2009,Las Campanas Observatory
HD 86226 c,HD 86226,0.049,0.075,7.25,2.16,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
HD 86264 b,HD 86264,2.763,0.821,3117.26102,12.5,Radial Velocity,2009,Lick Observatory
HD 8673 b,HD 8673,2.97,0.73,4210.59074,12.3,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
HD 86950 b,HD 86950,2.72,0.17,1144.188,13.0,Radial Velocity,2016,Multiple Observatories
HD 87646 b,HD 87646,0.117,0.05,3941.092,12.4,Radial Velocity,2016,Apache Point Observatory
HD 87883 b,HD 87883,4.055,0.707,1719.13385,12.8,Radial Velocity,2009,Lick Observatory
HD 88072 b,HD 88072,13.895,0.156,2511.7979,12.6,Radial Velocity,2022,Multiple Observatories
HD 88133 b,HD 88133,0.0479,0.031,324.1866,13.8,Radial Velocity,2004,W. M. Keck Observatory
HD 89307 b,HD 89307,3.27,0.2,642.01338,13.4,Radial Velocity,2009,Lick Observatory
HD 89345 b,HD 89345,0.1066,0.22,34.9613,7.398,Transit,2018,K2
HD 89744 b,HD 89744,0.917,0.677,2653.8805,12.6,Radial Velocity,1999,Fred Lawrence Whipple Observatory
HD 89839 b,HD 89839,4.761,0.187,1592.32032,12.9,Radial Velocity,2023,Multiple Facilities
HD 90156 b,HD 90156,0.25,0.31,17.98,4.43,Radial Velocity,2009,La Silla Observatory
HD 9174 b,HD 9174,2.2,0.12,352.7913,13.7,Radial Velocity,2016,Multiple Observatories
HD 92788 b,HD 92788,0.97,0.35,1195.0408,13.0,Radial Velocity,2000,Multiple Observatories
HD 92788 c,HD 92788,10.5,0.46,1166.4361,13.0,Radial Velocity,2019,La Silla Observatory
HD 93083 b,HD 93083,0.477,0.14,117.59,13.4,Radial Velocity,2005,La Silla Observatory
HD 93351 b,HD 93351,0.035,0.549,3.49611,1.69,Radial Velocity,2022,Multiple Observatories
HD 93351 c,HD 93351,11.154,0.109,4154.01728,12.3,Radial Velocity,2022,Multiple Observatories
HD 93385 b,HD 93385,0.0756,0.295,4.2,1.88,Radial Velocity,2021,La Silla Observatory
HD 93385 c,HD 93385,0.112,0.2,7.1,2.56,Radial Velocity,2021,La Silla Observatory
HD 93385 d,HD 93385,0.2565,0.09,8.7,2.89,Radial Velocity,2021,La Silla Observatory
HD 9446 b,HD 9446,0.189,0.2,222.472,14.0,Radial Velocity,2009,Haute-Provence Observatory
HD 9446 c,HD 9446,0.654,0.06,578.426,13.4,Radial Velocity,2009,Haute-Provence Observatory
HD 94771 b,HD 94771,3.48,0.39,169.0,14.2,Radial Velocity,2023,La Silla Observatory
HD 94834 b,HD 94834,2.74,0.14,400.4658,13.7,Radial Velocity,2018,W. M. Keck Observatory
HD 95089 b,HD 95089,1.36,0.119,400.4658,13.7,Radial Velocity,2009,W. M. Keck Observatory
HD 95089 c,HD 95089,3.33,0.284,1096.5135,13.1,Radial Velocity,2018,W. M. Keck Observatory
HD 95127 b,HD 95127,1.28,0.11,3378.5329,12.4,Radial Velocity,2015,McDonald Observatory
HD 95338 b,HD 95338,0.262,0.197,42.44,3.89,Radial Velocity,2020,Las Campanas Observatory
HD 95544 b,HD 95544,3.166,0.049,1913.64484,12.8,Radial Velocity,2021,Haute-Provence Observatory
HD 95735 c,GJ 411,2.94,0.132,13.6,3.76,Radial Velocity,2021,Multiple Observatories
HD 95872 b,HD 95872,5.15,0.06,1188.6842,13.0,Radial Velocity,2015,Multiple Facilities
HD 96063 b,HD 96063,1.11,0.17,403.6441,13.7,Radial Velocity,2011,W. M. Keck Observatory
HD 96127 b,HD 96127,1.42,0.3,6661.7168,12.1,Radial Velocity,2011,McDonald Observatory
HD 96167 b,HD 96167,1.332,0.685,227.88411,14.0,Radial Velocity,2009,W. M. Keck Observatory
HD 96700 b,HD 96700,0.0777,0.138,8.9,2.93,Radial Velocity,2021,La Silla Observatory
HD 96700 c,HD 96700,0.141,0.293,3.5,1.69,Radial Velocity,2021,La Silla Observatory
HD 96700 d,HD 96700,0.424,0.27,12.7,3.61,Radial Velocity,2021,La Silla Observatory
HD 96992 b,HD 96992,1.24,0.41,362.3262,13.7,Radial Velocity,2021,Multiple Observatories
HD 97037 b,HD 97037,6.925,0.357,6707.76853,12.1,Radial Velocity,2022,Multiple Observatories
HD 97658 b,HD 97658,0.0805,0.05,8.3,2.12,Radial Velocity,2010,W. M. Keck Observatory
HD 98219 b,HD 98219,1.26,0.079,624.21812,13.4,Radial Velocity,2011,W. M. Keck Observatory
HD 98649 b,HD 98649,6.297,0.841,2665.30902,12.6,Radial Velocity,2012,La Silla Observatory
HD 98736 b,HD 98736,1.864,0.226,740.5439,13.3,Radial Velocity,2018,W. M. Keck Observatory
HD 99109 b,HD 99109,1.11,0.09,139.8452,14.3,Radial Velocity,2005,W. M. Keck Observatory
HD 99283 b,HD 99283,1.08,0.2,308.29355,13.8,Radial Velocity,2021,Okayama Astrophysical Observatory
HD 99492 b,HD 99492,0.12,0.25,22.2481,5.02,Radial Velocity,2004,W. M. Keck Observatory
HD 99706 b,HD 99706,1.98,0.25,390.9309,13.7,Radial Velocity,2011,W. M. Keck Observatory
HIP 105854 b,HIP 105854,0.81,0.02,2606.1,12.6,Radial Velocity,2014,Multiple Observatories
HIP 107772 b,HIP 107772,0.243,0.18,12.9,3.64,Radial Velocity,2020,Multiple Observatories
HIP 107773 b,HIP 107773,0.72,0.09,629.3034,13.4,Radial Velocity,2015,Multiple Observatories
HIP 109384 b,HIP 109384,1.134,0.549,495.8148,13.5,Radial Velocity,2016,Haute-Provence Observatory
HIP 109600 b,HIP 109600,0.706,0.163,851.7844,13.2,Radial Velocity,2016,Haute-Provence Observatory
HIP 114933 b,HIP 114933,2.84,0.21,616.58711,13.4,Radial Velocity,2021,Multiple Observatories
HIP 116454 b,HIP 116454,0.07765,0.089,10.1,2.53,Transit,2014,K2
HIP 12961 b,HIP 12961,0.25,0.17,114.4188,13.2,Radial Velocity,2010,La Silla Observatory
HIP 14810 b,HIP 14810,0.0696,0.14399,1239.537,13.0,Radial Velocity,2005,W. M. Keck Observatory
HIP 14810 c,HIP 14810,0.549,0.1566,416.3573,13.6,Radial Velocity,2006,W. M. Keck Observatory
HIP 14810 d,HIP 14810,1.94,0.185,187.5197,14.1,Radial Velocity,2009,W. M. Keck Observatory
HIP 19976 b,HIP 19976,0.234,0.304,21.61233,4.94,Radial Velocity,2022,Multiple Observatories
HIP 19976 c,HIP 19976,11.460432,0.405505,9501.75953,11.9,Radial Velocity,2022,Multiple Observatories
HIP 21152 b,HIP 21152,17.0,0.36,7627.88177,12.0,Imaging,2022,Multiple Observatories
HIP 34222 b,HIP 34222,0.492,0.305,263.79758,13.9,Radial Velocity,2021,Cerro Tololo Inter-American Observatory
HIP 35173 b,HIP 35173,0.217,0.16,12.7,3.61,Radial Velocity,2019,Las Campanas Observatory
HIP 35965 b,HIP 35965,15.898,0.138,2589.98369,12.6,Radial Velocity,2022,Multiple Observatories
HIP 38594 b,HIP 38594,0.256,0.17,8.1,2.77,Radial Velocity,2020,Multiple Observatories
HIP 38594 c,HIP 38594,3.805,0.16,48.4,7.94,Radial Velocity,2020,Multiple Observatories
HIP 4845 b,HIP 4845,0.176,0.25,14.4,3.89,Radial Velocity,2020,Multiple Observatories
HIP 48714 b,HIP 48714,0.112,0.5,22.9,5.11,Radial Velocity,2020,Multiple Observatories
HIP 5158 b,HIP 5158,0.89,0.52,451.0,13.6,Radial Velocity,2009,La Silla Observatory
HIP 5158 c,HIP 5158,7.7,0.14,4780.1632,12.2,Radial Velocity,2011,La Silla Observatory
HIP 54373 b,HIP 54373,0.063,0.2,8.62,2.87,Radial Velocity,2019,Las Campanas Observatory
HIP 54373 c,HIP 54373,0.099,0.2,12.44,3.57,Radial Velocity,2019,Las Campanas Observatory
HIP 54597 b,HIP 54597,3.81,0.04,639.0,13.4,Radial Velocity,2023,La Silla Observatory
HIP 55507 b,HIP 55507,5.062,0.362,2585.53409,12.6,Radial Velocity,2022,Multiple Observatories
HIP 56640 b,HIP 56640,4.55,0.118,2151.69832,12.7,Radial Velocity,2021,Multiple Observatories
HIP 57274 b,HIP 57274,0.07,0.19,6.3566,2.4,Radial Velocity,2011,W. M. Keck Observatory
HIP 57274 c,HIP 57274,0.178,0.05,130.0,14.2,Radial Velocity,2011,W. M. Keck Observatory
HIP 57274 d,HIP 57274,1.01,0.27,167.4,14.2,Radial Velocity,2011,W. M. Keck Observatory
HIP 5763 b,HIP 5763,0.17,0.054,162.09249,14.2,Radial Velocity,2021,Cerro Tololo Inter-American Observatory
HIP 63242 b,HIP 63242,0.565,0.23,2917.56,12.5,Radial Velocity,2013,Multiple Observatories
HIP 65 A b,HIP 65 A,0.01782,0.0,1021.18779,22.754,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
HIP 65407 b,HIP 65407,0.177,0.14,136.03124,14.3,Radial Velocity,2016,Haute-Provence Observatory
HIP 65407 c,HIP 65407,0.316,0.12,249.17872,13.9,Radial Velocity,2016,Haute-Provence Observatory
HIP 65891 b,HIP 65891,2.794,0.128,1871.37366,12.8,Radial Velocity,2015,Multiple Observatories
HIP 67537 b,HIP 67537,4.807,0.586,4309.11754,12.3,Radial Velocity,2017,Multiple Observatories
HIP 67851 b,HIP 67851,0.482,0.063,498.35494,13.5,Radial Velocity,2015,Multiple Observatories
HIP 67851 c,HIP 67851,6.032,0.356,2204.77566,12.7,Radial Velocity,2015,Multiple Observatories
HIP 70849 b,HIP 70849,20.25,0.715,2860.0,12.5,Radial Velocity,2009,La Silla Observatory
HIP 71135 b,HIP 71135,0.335,0.21,18.8,4.55,Radial Velocity,2019,Las Campanas Observatory
HIP 74890 b,HIP 74890,2.1,0.07,762.792,13.3,Radial Velocity,2016,Multiple Observatories
HIP 75056 A b,HIP 75056 A,30.0,0.5,7945.71018,22.418,Imaging,2021,Paranal Observatory
HIP 75092 b,HIP 75092,2.02,0.42,568.91285,13.5,Radial Velocity,2021,Multiple Observatories
HIP 79431 b,HIP 79431,0.36,0.29,667.415,13.4,Radial Velocity,2009,W. M. Keck Observatory
HIP 8541 b,HIP 8541,3.729,0.36,2451.72833,12.6,Radial Velocity,2016,Multiple Observatories
HIP 86221 b,HIP 86221,0.031,0.086,225.65817,14.0,Radial Velocity,2021,Cerro Tololo Inter-American Observatory
HIP 90988 b,HIP 90988,1.36,0.081,668.07531,13.4,Radial Velocity,2021,Multiple Observatories
HIP 91258 b,HIP 91258,0.06,0.02,346.4347,13.7,Radial Velocity,2013,Haute-Provence Observatory
HIP 94235 b,HIP 94235,0.0787,0.32,379.0,3.0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS)
HIP 948 b,HIP 948,15.037,0.23,6547.26518,12.1,Radial Velocity,2022,Multiple Observatories
HIP 9618 b,HIP 9618,0.1438,0.22,10.0,3.9,Transit,2023,Transiting Exoplanet Survey Satellite (TESS)
HIP 9618 c,HIP 9618,0.2669,0.23,18.3,3.343,Transit,2023,Transiting Exoplanet Survey Satellite (TESS)
HIP 97166 b,HIP 97166,0.089,0.16,20.0,2.74,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
HIP 97166 c,HIP 97166,0.124,0.25,9.9,3.12,Radial Velocity,2021,Multiple Observatories
HIP 97233 b,HIP 97233,2.491,0.63,6098.17365,12.1,Radial Velocity,2014,Multiple Observatories
HIP 99770 b,HIP 99770,16.9,0.25,5117.03735,12.2,Imaging,2023,Multiple Observatories
HR 5183 b,HR 5183,18.0,0.84,1052.01203,13.1,Radial Velocity,2019,Multiple Observatories
HR 810 b,HR 810,0.92,0.14,721.4741,13.3,Radial Velocity,1999,La Silla Observatory
HR 858 b,HR 858,0.048,0.3,5.0,2.085,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
HR 858 c,HR 858,0.0674,0.19,4.42,1.939,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
HR 858 d,HR 858,0.1027,0.28,5.32,2.164,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
HR 8799 c,HR 8799,38.0,0.5,3000.0,13.0,Imaging,2008,Gemini Observatory
HR 8799 d,HR 8799,24.0,0.6,3000.0,13.0,Imaging,2008,W. M. Keck Observatory
HR 8799 e,HR 8799,16.4,0.15,3178.3,13.115,Imaging,2010,W. M. Keck Observatory
HU Aqr AB b,HU Aqr,3.6,0.0,1875.197,12.8,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory
HU Aqr AB c,HU Aqr,5.4,0.51,1430.235,12.9,Eclipse Timing Variations,2011,Yunnan Astronomical Observatory
IC 4651 9122 b,IC 4651 9122,2.038,0.18,2002.329,12.7,Radial Velocity,2018,La Silla Observatory
K2-10 b,K2-10,0.137,0.31,27.0,3.84,Transit,2015,K2
K2-100 b,K2-100,0.0301,0.0,21.8,3.88,Transit,2016,K2
K2-101 b,K2-101,0.1124,0.1,4.66,2.0,Transit,2016,K2
K2-104 b,K2-104,0.0242,0.09,3.86,1.79,Transit,2016,K2
K2-107 b,K2-107,0.0475,0.0,266.9772,15.98,Transit,2017,K2
K2-108 b,K2-108,0.0581,0.18,59.4,5.33,Transit,2017,K2
K2-110 b,K2-110,0.10207,0.13,15.9,2.592,Transit,2017,K2
K2-111 b,K2-111,0.0565,0.1,5.58,1.82,Transit,2017,K2
K2-111 c,K2-111,0.11569,0.071,11.08,3.33,Radial Velocity,2020,Multiple Observatories
K2-113 b,K2-113,0.0642,0.0,410.0007,12.14,Transit,2017,K2
K2-114 b,K2-114,0.0943,0.081,638.8351,10.447,Transit,2017,K2
K2-115 b,K2-115,0.143,0.137,266.9772,12.06,Transit,2017,K2
K2-116 b,K2-116,0.048,0.06,0.257,0.69,Transit,2017,K2
K2-117 b,K2-117,0.0189,0.06,4.78,2.03,Transit,2017,K2
K2-117 c,K2-117,0.0492,0.15,4.9,2.06,Transit,2017,K2
K2-118 b,K2-118,0.245,0.2,6.99,2.54,Transit,2017,K2
K2-119 b,K2-119,0.0698,0.07,6.94,2.53,Transit,2017,K2
K2-12 b,K2-12,0.0792,0.5,5.2,2.44,Transit,2015,K2
K2-120 b,K2-120,0.078,0.14,4.7,2.01,Transit,2017,K2
K2-121 b,K2-121,0.0629,0.22,44.1,7.52,Transit,2017,K2
K2-122 b,K2-122,0.0373,0.21,1.65,1.16,Transit,2017,K2
K2-123 b,K2-123,0.1649,0.06,8.05,2.76,Transit,2017,K2
K2-124 b,K2-124,0.049,0.08,8.75,2.9,Transit,2017,K2
K2-125 b,K2-125,0.121,0.08,5.39,2.18,Transit,2017,K2
K2-126 b,K2-126,0.0656,0.06,4.54,1.97,Transit,2017,K2
K2-127 b,K2-127,0.0411,0.12,52.9,8.37,Transit,2017,K2
K2-128 b,K2-128,0.056,0.23,2.6,1.42,Transit,2017,K2
K2-129 b,K2-129,0.057,0.13,1.12,1.04,Transit,2017,K2
